Company,Last Price,chg,%chg,Day High,Day Low
ADANI PORTS,406.50,+7.75,(+1.94%),407.00,399.05
ESCORTS,787.20,+14.80,(+1.92%),796.40,767.00
MOTHERSON SUMI,378.80,+7.15,(+1.92%),380.65,375.60
TAMIL NADU NEWSPRINT,445.70,+8.30,(+1.90%),455.00,432.50
WIPRO,313.40,+5.85,(+1.90%),315.40,303.35
EXIDE INDUSTRIES,222.85,+4.15,(+1.90%),224.40,219.10
MOTILAL OSWAL,1509.00,+28.10,(+1.90%),1509.00,1472.90
INDRAPRASTHA GAS,334.95,+6.20,(+1.89%),336.50,328.50
LARSEN & TOUBRO INFOTECH,1116.55,+20.75,(+1.89%),1120.95,1096.00
SHREE RENUKA SUGARS,16.35,+0.30,(+1.87%),16.70,16.15
AKZO NOBEL INDIA,1835.80,+33.55,(+1.86%),1840.00,1802.05
BEML LTD.,1617.65,+29.40,(+1.85%),1638.00,1590.00
PNB HOUSING FINANCE,1337.00,+24.00,(+1.83%),1348.15,1316.40
MANAPPURAM FINANCE,123.30,+2.15,(+1.77%),125.30,121.45
OBEROI REALTY,479.80,+8.35,(+1.77%),481.90,472.00
TECHNO ELECTRIC,412.20,+7.15,(+1.77%),422.45,410.00
GODREJ CONSUMER,999.00,+17.40,(+1.77%),1006.45,988.85
JET AIRWAYS (INDIA),831.30,+14.25,(+1.74%),834.95,817.10
SONATA SOFTWARE,278.65,+4.70,(+1.72%),283.00,273.00
HCL TECH,893.00,+14.80,(+1.69%),898.90,876.95
RADICO KHAITAN,292.50,+4.85,(+1.69%),295.55,287.45
EDELWEISS FIN. SER.,297.30,+4.90,(+1.68%),303.30,292.10
TATA POWER,93.85,+1.55,(+1.68%),94.70,92.40
SYNDICATE BANK,79.90,+1.30,(+1.65%),80.55,78.00
RELIANCE DEFENCE,49.25,+0.80,(+1.65%),50.85,47.60
SJVN LTD.,33.95,+0.55,(+1.65%),34.05,33.20
MARICO,322.15,+5.10,(+1.61%),325.25,318.00
ORIENT CEMENT,170.20,+2.70,(+1.61%),174.90,168.30
DEN NETWORKS,105.30,+1.65,(+1.59%),106.60,103.70
MOIL LTD.,242.35,+3.80,(+1.59%),243.40,236.00
DR LAL PATHLABS,900.00,+14.00,(+1.58%),904.00,875.00
SHRIRAM TRANSPORT,1480.15,+22.90,(+1.57%),1494.50,1454.65
VAKRANGEE,421.00,+6.40,(+1.54%),424.70,414.00
RAMKRISHNA FORGINGS,857.95,+12.90,(+1.53%),872.05,828.35
THE INDIA CEMENTS,182.60,+2.75,(+1.53%),184.10,180.05
SHILPA MEDICARE,616.80,+9.25,(+1.52%),620.00,602.20
APAR INDUSTRIES,807.00,+12.05,(+1.52%),813.00,799.00
SADBHAV ENGINEERING,425.90,+6.30,(+1.50%),435.75,419.75
PETRONET LNG,254.50,+3.75,(+1.50%),255.95,250.70
SKF INDIA,1921.70,+28.20,(+1.49%),1962.00,1913.00
ICRA LTD.,3957.40,+57.40,(+1.47%),3957.50,3878.00
VRL LOGISTICS,431.00,+6.10,(+1.44%),434.90,415.00
TVS MOTOR COMPANY,773.80,+10.75,(+1.41%),777.50,763.05
JINDAL STEEL & POWER,204.95,+2.75,(+1.36%),206.70,201.25
PTC INDIA FIN. SER.,37.25,+0.50,(+1.36%),37.65,36.85
POWER FINANCE CORP.,121.55,+1.60,(+1.33%),122.45,119.75
ASTRAL POLY TECHNIK,839.60,+10.90,(+1.32%),848.00,827.65
SOMANY CERAMICS,910.00,+11.75,(+1.31%),925.50,891.80
TATA COFFEE,166.80,+2.15,(+1.31%),168.80,163.65
TECH MAHINDRA,505.00,+6.55,(+1.31%),505.00,496.00
JINDAL POLY FILMS,417.00,+5.35,(+1.30%),426.00,415.20
THE KARNATAKA BANK,151.80,+1.90,(+1.27%),152.50,150.00
ASHOK LEYLAND,119.25,+1.50,(+1.27%),119.90,117.25
SOLAR INDUSTRIES,1199.95,+14.95,(+1.26%),1200.00,1180.00
COLGATE-PALMOLIVE,1095.60,+13.35,(+1.23%),1103.00,1082.55
PRAJ INDUSTRIES,111.70,+1.35,(+1.22%),113.00,109.75
FINOLEX CABLES,705.00,+8.45,(+1.21%),728.45,696.50
ORACLE FINANCIAL,4104.00,+48.60,(+1.20%),4110.00,3967.90
MPHASIS,730.00,+8.60,(+1.19%),731.00,720.10
GILLETTE INDIA,6789.75,+78.40,(+1.17%),6865.60,6730.25
ASIAN PAINTS,1157.90,+13.30,(+1.16%),1170.00,1139.20
TV18 BROADCAST,61.30,+0.70,(+1.16%),61.75,60.30
JYOTHY LABORATORIES,384.65,+4.40,(+1.16%),392.00,379.85
SNOWMAN LOGISTICS,57.45,+0.65,(+1.14%),58.85,56.85
EICHER MOTORS,30288.05,+336.30,(+1.12%),30380.00,29939.30
NAVNEET EDUCATION,164.00,+1.80,(+1.11%),164.80,161.85
DABUR INDIA,349.80,+3.70,(+1.07%),350.25,345.75
KARUR VYSYA BANK,124.85,+1.30,(+1.05%),126.00,123.25
JINDAL SAW,140.00,+1.45,(+1.05%),143.80,137.00
MARUTI SUZUKI,9731.35,+100.85,(+1.05%),9764.00,9640.00
ULTRATECH CEM,4320.80,+44.65,(+1.04%),4328.00,4280.80
UNITED SPIRITS,3671.15,+37.60,(+1.03%),3685.70,3610.20
PAGE INDUSTRIES,25450.00,+260.15,(+1.03%),25550.00,25042.95
AVANTI FEEDS,2533.35,+25.50,(+1.02%),2550.00,2518.10
ZENSAR TECHNOLOGIES,882.20,+8.95,(+1.02%),894.70,871.00
INDIABULLS VENTURES,265.60,+2.60,(+0.99%),267.55,261.50
HIMATSINGKA SEIDE,399.60,+3.90,(+0.99%),402.00,391.90
JAGRAN PRAKASHAN,179.35,+1.75,(+0.99%),182.00,177.50
AJANTA PHARMA,1493.00,+14.45,(+0.98%),1495.00,1472.00
MAGMA FINCORP,160.60,+1.55,(+0.97%),161.80,158.00
DELTA CORP,307.70,+2.95,(+0.97%),313.50,305.30
PI INDUSTRIES,965.90,+9.30,(+0.97%),972.35,950.10
BRIGADE ENTERPRISES,315.90,+3.00,(+0.96%),319.20,307.25
DHANUKA AGRITECH,738.45,+7.00,(+0.96%),742.00,725.00
ECLERX SERVICES,1573.25,+14.85,(+0.95%),1575.00,1540.00
HDFC,1710.40,+15.90,(+0.94%),1713.00,1699.00
CHOLAMANDALAM INVEST,1297.00,+11.85,(+0.92%),1299.00,1281.40
VINATI ORGANICS,1003.00,+8.90,(+0.90%),1023.00,988.60
CHAMBAL FERTILISERS,152.25,+1.35,(+0.89%),156.45,151.10
DCB BANK,195.55,+1.70,(+0.88%),197.15,193.10
SUVEN LIFE SCIENCES,203.30,+1.75,(+0.87%),206.75,201.80
FIRSTSOURCE SOLUTION,40.80,+0.35,(+0.87%),42.25,40.65
HIND CONSTRUCTIONS,40.95,+0.35,(+0.86%),41.85,40.80
ONGC,194.65,+1.65,(+0.85%),195.10,192.45
BALRAMPUR CHINI,132.35,+1.10,(+0.84%),134.50,131.00
NTPC LTD.,177.20,+1.45,(+0.83%),178.20,175.75
ALKEM LABORATORIES,2204.00,+18.05,(+0.83%),2250.00,2165.00
ABB INDIA,1399.50,+11.35,(+0.82%),1407.00,1391.20
TRIDENT,89.50,+0.70,(+0.79%),90.20,87.70
HUL,1368.10,+10.75,(+0.79%),1374.70,1353.35
SML ISUZU,914.00,+6.85,(+0.76%),920.00,903.80
GUJARAT MINERAL,166.65,+1.25,(+0.76%),170.50,165.60
MAHINDRA HOLIDAYS,337.70,+2.55,(+0.76%),338.95,335.00
CIPLA,609.60,+4.55,(+0.75%),611.50,604.65
BAJAJ ELECTRICALS,496.85,+3.65,(+0.74%),501.00,492.55
CENTURY PLYBOARDS,340.25,+2.45,(+0.73%),343.00,337.95
ADANI ENTERPRISES,166.35,+1.20,(+0.73%),168.00,164.00
NAVIN FLUORINE INTL,828.85,+5.90,(+0.72%),833.50,818.00
PIRAMAL ENTERPRISES,2863.00,+20.15,(+0.71%),2880.60,2826.00
BAJAJ AUTO,3325.00,+23.55,(+0.71%),3333.60,3289.55
PVR LTD.,1417.95,+9.85,(+0.70%),1427.00,1395.75
ITC LTD.,263.10,+1.80,(+0.69%),263.95,262.20
HERITAGE FOODS,827.45,+5.65,(+0.69%),831.20,821.00
