Company,Last Price,chg,%chg,Day High,Day Low
,,,,,
INFIBEAM,141.35,-23.30,(-14.15%),164.00,98.80
BOMBAY RAYON FASHION,124.55,-6.55,(-5.00%),124.55,124.55
PHOENIX MILLS,621.55,-21.95,(-3.41%),650.00,614.90
GATEWAY DISTRIPARKS,234.55,-8.20,(-3.38%),243.05,234.55
REDINGTON (INDIA),175.20,-6.10,(-3.36%),184.90,174.40
CENTRAL BANK OF INDI,72.60,-2.25,(-3.01%),75.40,72.30
VIJAYA BANK,68.35,-2.00,(-2.84%),70.95,67.90
SUPRAJIT ENGINEERING,330.65,-9.30,(-2.74%),345.55,330.05
RATTANINDIA POWER,7.84,-0.22,(-2.73%),8.22,7.72
KALPATARU POWER,474.30,-12.55,(-2.58%),490.35,469.00
MMTC LTD.,73.25,-1.85,(-2.46%),76.40,72.90
UNITED BANK OF INDIA,18.00,-0.45,(-2.44%),19.50,17.85
MINDA CORPORATION,213.85,-5.20,(-2.37%),222.10,213.20
INDOCO REMEDIES,279.75,-6.30,(-2.20%),288.50,278.50
STAR CEMENT,132.20,-2.95,(-2.18%),137.70,131.30
PNC INFRATECH LTD,203.20,-4.50,(-2.17%),210.80,202.20
AIA ENGINEERING,1546.15,-34.35,(-2.17%),1590.40,1538.00
ALEMBIC PHARMA,531.15,-11.40,(-2.10%),546.40,527.25
GAIL (INDIA),500.10,-10.60,(-2.08%),513.40,496.00
JINDAL STAINLESS,104.00,-2.15,(-2.03%),106.90,103.95
J KUMAR INFRAPROJECT,296.65,-6.10,(-2.01%),305.00,295.70
JAIN IRRIGATION,125.80,-2.45,(-1.91%),132.90,122.85
3M INDIA,19000.00,-360.90,(-1.86%),19623.20,19000.00
CARBORUNDUM,375.10,-6.90,(-1.81%),381.70,375.10
NAVKAR CORPORATION,187.00,-3.45,(-1.81%),190.50,187.00
RALLIS INDIA,264.65,-4.85,(-1.80%),271.80,264.00
INDIAN OVERSEAS BANK,22.25,-0.40,(-1.77%),23.00,22.10
MCLEOD RUSSEL INDIA,204.15,-3.65,(-1.76%),209.25,204.10
APOLLO HOSPITALS,1207.40,-21.45,(-1.75%),1230.00,1201.00
DLF LTD.,259.35,-4.45,(-1.69%),266.10,257.00
SUDARSHAN CHEMICAL,373.15,-6.40,(-1.69%),381.70,370.65
WELSPUN INDIA,71.15,-1.20,(-1.66%),73.25,70.90
HINDUSTAN COPPER,100.90,-1.65,(-1.61%),105.60,100.10
ICICI PRUDENTIAL,383.55,-6.25,(-1.60%),394.00,381.40
MRF LTD.,72348.15,-1164.50,(-1.58%),73846.95,72200.00
BLISS GVS PHARMA,211.25,-3.30,(-1.54%),220.00,210.00
DCM SHRIRAM,555.70,-8.35,(-1.48%),575.00,554.40
MAX FIN. SER.,591.15,-8.85,(-1.48%),603.95,583.60
AHLUWALIA CONTRACTS,390.00,-5.75,(-1.45%),403.40,388.00
TIMKEN INDIA,884.35,-13.05,(-1.45%),900.00,878.00
DIVIS LABORATORIES,1098.20,-16.05,(-1.44%),1129.15,1092.35
LAKSHMI VILAS BANK,147.95,-2.15,(-1.43%),150.30,147.05
VA TECH WABAG,611.60,-8.80,(-1.42%),642.15,609.90
COFFEE DAY,273.75,-3.95,(-1.42%),279.50,272.20
JAI CORP,174.75,-2.50,(-1.41%),180.80,173.75
SOBHA,618.30,-8.70,(-1.39%),635.00,615.20
BAJAJ FINSERV,5238.40,-74.05,(-1.39%),5322.35,5188.25
BANK OF BARODA,160.50,-2.25,(-1.38%),164.00,160.05
WELSPUN CORP,135.40,-1.90,(-1.38%),138.95,135.10
