Company,Last Price,chg,%chg,Day High,Day Low
ITD CEMENTATION,215.35,-3.00,(-1.37%),221.85,215.35
THOMAS COOK (INDIA),256.20,-3.50,(-1.35%),262.45,254.00
KOLTE PATIL DEVELOP,366.40,-4.95,(-1.33%),374.10,364.35
BLUE DART EXPRESS,4540.00,-60.40,(-1.31%),4600.00,4540.00
TIME TECHNOPLAST,207.25,-2.70,(-1.29%),211.90,205.80
ANDHRA BANK,58.40,-0.75,(-1.27%),59.25,58.00
JBF INDUSTRIES,225.85,-2.90,(-1.27%),230.30,223.60
INTELLECT DESIGN,165.20,-2.10,(-1.26%),169.10,163.00
FINOLEX INDUSTRIES,656.10,-8.40,(-1.26%),665.85,655.05
NAVA BHARAT VENTURES,146.65,-1.85,(-1.25%),149.75,146.00
HINDUSTAN PETROLEUM,416.30,-5.25,(-1.25%),426.80,415.95
DILIP BUILDCON,986.80,-12.50,(-1.25%),1014.90,982.75
IPCA LABORATORIES,597.65,-7.50,(-1.24%),621.00,595.00
ITI LTD.,137.40,-1.70,(-1.22%),140.25,137.25
SUN TV NETWORK,988.50,-12.00,(-1.20%),1008.40,984.00
AU SMALL FIN. BANK,667.50,-8.10,(-1.20%),680.00,662.80
TTK PRESTIGE,7672.95,-92.55,(-1.19%),7810.05,7651.50
BPCL,518.70,-6.10,(-1.16%),529.35,515.35
FUTURE CONSUMER,75.15,-0.85,(-1.12%),76.95,75.00
SUN PHARMA ADVANCED,506.90,-5.65,(-1.10%),517.20,505.40
THE RAMCO CEMENTS,785.80,-8.55,(-1.08%),821.55,781.35
UNION BANK OF INDIA,144.35,-1.55,(-1.06%),147.40,143.40
CUMMINS INDIA,902.80,-9.70,(-1.06%),929.30,891.15
VESUVIUS INDIA,1391.00,-14.60,(-1.04%),1429.90,1365.05
FORTIS HEALTHCARE,160.30,-1.65,(-1.02%),165.80,158.30
ALLAHABAD BANK,73.40,-0.75,(-1.01%),74.85,73.05
UCO BANK,29.80,-0.30,(-1.00%),31.70,29.50
EIH LTD.,145.30,-1.45,(-0.99%),149.50,145.00
INDIAN OIL CORP.,388.40,-3.85,(-0.98%),395.10,387.55
MERCK,1289.00,-12.55,(-0.96%),1320.00,1284.95
ENDURANCE TECH,1355.00,-13.05,(-0.95%),1380.45,1350.00
TV TODAY NETWORK,431.85,-4.10,(-0.94%),444.20,428.00
GREENPLY INDUSTRIES,335.00,-3.10,(-0.92%),340.00,335.00
ORIENTAL BANK,120.70,-1.10,(-0.90%),122.90,120.05
SYNGENE INTL.,540.45,-4.90,(-0.90%),549.00,538.00
GLAXOSMITHKLINE CONS,6528.00,-59.55,(-0.90%),6597.95,6495.30
SANOFI INDIA,4702.95,-42.60,(-0.90%),4735.00,4680.00
ASTRAZENECA PHARMA,1160.25,-10.50,(-0.90%),1184.95,1160.00
THYROCARE TECHNOLOGIES,689.80,-6.25,(-0.90%),704.30,685.00
EVEREADY IND.,438.15,-3.95,(-0.89%),446.75,435.70
DB CORP,352.00,-3.15,(-0.89%),360.00,347.00
INDO COUNT IND.,124.25,-1.10,(-0.88%),127.90,117.50
RELAXO FOOTWEARS,675.60,-6.00,(-0.88%),686.05,668.75
MARKSANS PHARMA,39.90,-0.35,(-0.87%),40.80,39.70
PRISM CEMENT,112.60,-0.95,(-0.84%),114.85,111.00
VEDANTA,329.75,-2.75,(-0.83%),335.20,327.25
STRIDES SHASUN,822.75,-6.85,(-0.83%),834.75,821.00
HEIDELBERG CEMENT,153.05,-1.20,(-0.78%),155.85,152.50
UJJIVAN FINANCIAL,388.70,-3.00,(-0.77%),395.40,387.05
FUTURE LIFESTYLE,345.00,-2.60,(-0.75%),356.50,345.00
PRESTIGE ESTATE,317.20,-2.35,(-0.74%),332.70,315.15
POLARIS CONSULTING,391.05,-2.85,(-0.72%),396.70,389.00
IFB INDUSTRIES,1361.20,-9.70,(-0.71%),1371.45,1342.80
DR. REDDYS LABS,2414.40,-17.35,(-0.71%),2446.00,2405.10
CITY UNION BANK,177.60,-1.25,(-0.70%),181.80,176.80
GULF OIL LUBRICANTS,980.00,-6.90,(-0.70%),990.00,977.00
DALMIA BHARAT,3197.95,-21.80,(-0.68%),3234.95,3191.20
8K MILES SOFTWARE,906.95,-6.15,(-0.67%),923.00,903.00
DEWAN HOUSING,582.85,-3.85,(-0.66%),590.15,581.40
SCHNEIDER ELECTRIC,127.00,-0.85,(-0.66%),130.10,126.40
ADVANCED ENZYME,276.70,-1.85,(-0.66%),280.00,272.00
SAIL,92.15,-0.60,(-0.65%),93.70,91.60
HINDUSTAN ZINC,309.00,-1.95,(-0.63%),314.00,308.35
CAN FIN HOMES,473.45,-2.90,(-0.61%),480.00,468.85
HINDALCO,273.70,-1.65,(-0.60%),277.10,270.70
OIL INDIA,372.20,-2.20,(-0.59%),378.00,370.10
CAPLIN POINT LABS,628.65,-3.75,(-0.59%),636.90,626.10
BAJAJ CORP,477.10,-2.85,(-0.59%),484.00,475.00
MRPL,128.15,-0.75,(-0.58%),129.50,127.10
NATIONAL ALUMINIUM,85.95,-0.50,(-0.58%),87.75,85.60
BALMER LAWRIE &,274.55,-1.60,(-0.58%),279.15,272.60
INTERGLOBE AVIATION,1200.55,-6.95,(-0.58%),1221.85,1200.05
GRUH FINANCE,500.05,-2.85,(-0.57%),508.30,496.50
JSW STEEL,269.70,-1.55,(-0.57%),273.50,266.05
IGARASHI MOTORS,862.00,-4.80,(-0.55%),913.50,858.55
MINDTREE,610.10,-3.40,(-0.55%),618.15,598.30
BIOCON,537.25,-2.95,(-0.55%),545.10,532.85
MAHINDRA CIE,257.75,-1.40,(-0.54%),264.00,254.95
MINDA INDUSTRIES,1282.25,-6.90,(-0.54%),1318.95,1258.95
GODREJ PROPERTIES,695.90,-3.50,(-0.50%),704.30,692.65
MANPASAND BEVERAGES,436.75,-2.15,(-0.49%),445.95,435.00
AMARA RAJA BATTERIES,842.10,-4.05,(-0.48%),850.65,838.70
RAMCO SYSTEMS,526.40,-2.30,(-0.44%),535.00,522.30
CERA SANITARYWARE,3721.35,-16.20,(-0.43%),3785.00,3661.00
UFLEX,486.30,-2.05,(-0.42%),491.45,484.80
UPL LTD.,761.50,-3.25,(-0.42%),771.70,758.70
CCL PRODUCTS,298.40,-1.20,(-0.40%),307.70,298.40
RUPA & COMPANY,486.65,-1.95,(-0.40%),494.10,484.00
JINDAL HISAR,227.00,-0.90,(-0.39%),230.95,225.50
J & K BANK,78.75,-0.30,(-0.38%),79.40,77.90
AEGIS LOGISTICS,284.90,-1.10,(-0.38%),288.10,282.30
RELIANCE,921.05,-3.35,(-0.36%),932.25,918.10
HFCL,28.60,-0.10,(-0.35%),29.40,28.40
BASF INDIA,2133.90,-7.35,(-0.34%),2191.00,2117.85
ZEE LEARN,44.50,-0.15,(-0.34%),45.10,44.00
JK TYRE & IND.,147.05,-0.50,(-0.34%),149.25,146.10
IDBI BANK,60.15,-0.20,(-0.33%),61.85,59.55
GATI LTD.,135.55,-0.45,(-0.33%),137.90,135.10
INDIABULLS HOUSING,1194.75,-3.95,(-0.33%),1204.95,1191.05
THE FEDERAL BANK,108.80,-0.35,(-0.32%),110.05,108.50
NARAYANA HRUDAYALAY,298.50,-0.95,(-0.32%),299.95,297.00
TATA STEEL,732.45,-2.20,(-0.30%),744.35,730.00
BAJAJ HOLDINGS,2870.00,-8.60,(-0.30%),2982.35,2870.00
PROCTER & GAMBLE,9380.95,-28.05,(-0.30%),9475.95,9360.00
EQUITAS HOLDINGS,148.05,-0.45,(-0.30%),154.00,147.05
LAURUS LABS,541.00,-1.65,(-0.30%),545.00,537.00
NBCC,246.75,-0.70,(-0.28%),251.20,245.60
GODFREY PHILLIPS,986.55,-2.80,(-0.28%),999.90,985.05
INGERSOLL-RAND,805.00,-2.25,(-0.28%),812.00,805.00
RELIANCE INFRA.,553.75,-1.45,(-0.26%),574.55,548.35
NETWORK 18 MEDIA,60.75,-0.15,(-0.25%),62.70,60.20
JUST DIAL,521.85,-1.30,(-0.25%),528.95,519.05
LAKSHMI MACHINE WORK,5831.90,-14.50,(-0.25%),5899.95,5817.00
BANK OF INDIA,169.70,-0.40,(-0.24%),172.25,168.80
ESSEL PROPACK,294.70,-0.70,(-0.24%),299.00,294.70
SIEMENS,1236.80,-2.90,(-0.23%),1270.50,1229.05
ITDC,516.60,-1.15,(-0.22%),529.60,514.05
KWALITY,113.00,-0.25,(-0.22%),116.30,110.40
TAKE SOLUTIONS,161.00,-0.35,(-0.22%),163.05,160.10
NMDC LTD.,137.90,-0.30,(-0.22%),140.35,137.50
DENA BANK,25.30,-0.05,(-0.20%),26.40,24.90
MAHANAGAR TELEPHONE,24.95,-0.05,(-0.20%),25.60,24.80
ATUL LTD.,2729.95,-5.35,(-0.20%),2755.55,2720.40
BHARTI AIRTEL,530.00,-1.05,(-0.20%),538.30,527.00
ZEE,585.75,-1.20,(-0.20%),587.40,579.55
HDFC BANK,1871.00,-3.65,(-0.19%),1880.00,1868.60
APOLLO TYRES,268.05,-0.50,(-0.19%),270.15,266.25
NCC LTD.,133.80,-0.25,(-0.19%),135.20,131.80
INDIAN BANK,379.75,-0.70,(-0.18%),385.30,373.20
GE SHIPPING,402.25,-0.70,(-0.17%),405.35,398.00
SWAN ENERGY,190.45,-0.30,(-0.16%),199.95,186.30
CARE,1335.05,-1.95,(-0.15%),1352.40,1326.05
STERLITE TECH,291.80,-0.45,(-0.15%),295.20,291.10
INOX WIND,143.95,-0.20,(-0.14%),145.90,143.50
MUTHOOT FINANCE,474.40,-0.65,(-0.14%),483.00,473.00
E.I.D. PARRY,370.95,-0.50,(-0.13%),376.05,367.15
KRBL LTD.,601.10,-0.60,(-0.10%),605.60,596.25
IDFC BANK,54.25,-0.05,(-0.09%),54.95,54.00
SUNTECK REALTY,422.80,-0.40,(-0.09%),428.65,399.50
GUJARAT FLUOROCHEM.,908.00,-0.80,(-0.09%),925.30,899.00
DEEPAK FERTILISERS,425.90,-0.40,(-0.09%),433.65,421.75
ICICI BANK,314.00,-0.25,(-0.08%),315.50,312.60
INDUSIND BANK,1649.10,-0.90,(-0.05%),1660.05,1645.70
BLUE STAR,813.90,-0.30,(-0.04%),825.45,809.00
PIDILITE INDUSTRIES,902.55,-0.35,(-0.04%),914.25,901.00
L&T FIN. HOLDINGS,173.80,-0.05,(-0.03%),174.75,172.10
NIIT TECHNOLOGIES,649.60,-0.10,(-0.02%),656.00,642.30
CANARA BANK,360.90,-0.05,(-0.01%),365.50,359.90
