RATTANINDIA POWER,8.06,-0.38,(-4.50%),8.64,7.9
BAJAJ HINDUSTHAN,14.5,-0.05,(-0.34%),14.65,14.45
SUZLON ENERGY,15.09,-0.07,(-0.46%),15.39,15
SHREE RENUKA SUGARS,16.05,-0.2,(-1.23%),16.45,16
HFCL,28.7,-0.1,(-0.35%),29.8,28.55
UCO BANK,30.1,-0.2,(-0.66%),30.75,30
SOUTH INDIAN BANK,30.95,-0.5,(-1.59%),31.55,30.8
SJVN LTD.,33.4,-0.4,(-1.18%),34.5,32.9
PTC INDIA FIN. SER.,36.75,-0.15,(-0.41%),37.05,36.5
CORPORATION BANK,39.6,-0.65,(-1.61%),40.15,39.4
HATHWAY CABLE,39.9,-0.6,(-1.48%),41,39.75
HIND CONSTRUCTIONS,40.6,-0.3,(-0.73%),41.65,40.4
IDFC BANK,54.3,-0.9,(-1.63%),55.45,54.1
ANDHRA BANK,59.2,-0.9,(-1.50%),60.4,58.9
VIJAYA BANK,70.35,-0.45,(-0.64%),71.25,69.8
WELSPUN INDIA,72.35,-0.75,(-1.03%),73.9,72
ALLAHABAD BANK,74.15,-1.55,(-2.05%),76.15,73.8
FUTURE CONSUMER,76,-0.95,(-1.23%),77.65,75.3
SYNDICATE BANK,78.65,-1.9,(-2.36%),81.55,76.75
JSW ENERGY,89.15,-0.35,(-0.39%),90.5,88.65
BHEL,92.2,-0.4,(-0.43%),93.3,91.9
SREI INFRA. FINANCE,98.5,-0.8,(-0.81%),101.45,98.5
DEN NETWORKS,103.65,-1.2,(-1.14%),105.7,102.55
JINDAL STAINLESS,106.15,-1.5,(-1.39%),109.9,105.55
PRISM CEMENT,113.55,-0.7,(-0.61%),115.6,113
PTC INDIA,115.5,-1.1,(-0.94%),116.8,115.1
ASHOK LEYLAND,117.75,-0.8,(-0.67%),118.9,117.2
THE INDIAN HOTELS,117.9,-0.4,(-0.34%),119.55,116.8
POWER FINANCE CORP.,119.95,-1.5,(-1.24%),121.75,119
ORIENTAL BANK,121.8,-1.35,(-1.10%),124.25,121
BOMBAY RAYON FASHION,131.1,-6.9,(-5.00%),131.1,131.1
BALRAMPUR CHINI,131.25,-3.9,(-2.89%),134.5,130.4
GATI LTD.,136,-0.8,(-0.58%),138.1,135.25
GRANULES INDIA,137.15,-1.75,(-1.26%),141.5,136
WELSPUN CORP,137.3,-1.75,(-1.26%),140.4,136.2
KESORAM INDUSTRIES,137.6,-1.1,(-0.79%),139.25,136.6
UNION BANK OF INDIA,145.9,-2.4,(-1.62%),148.85,145
THE KARNATAKA BANK,149.9,-1.9,(-1.25%),154.4,148.4
JM FINANCIAL,150.85,-0.9,(-0.59%),152.7,149.45
REC,154.8,-1.9,(-1.21%),156.65,154.35
MAGMA FINCORP,159,-4.3,(-2.63%),163.5,157.85
TAKE SOLUTIONS,161.45,-0.7,(-0.43%),164.95,160.15
INFIBEAM,161.9,-3.5,(-2.12%),168,161.7
BANK OF BARODA,162.75,-3.2,(-1.93%),167.85,162.25
NAVNEET EDUCATION,164,-0.45,(-0.27%),168.1,160.2
TATA COFFEE,164.65,-1.2,(-0.72%),166.85,164.3
BANK OF INDIA,170.1,-1.5,(-0.87%),172.2,168.35
PUNJAB NATIONAL BANK,170.7,-3.2,(-1.84%),174.5,170.1
L&T FIN. HOLDINGS,173.85,-2.9,(-1.64%),178.15,173.05
NTPC LTD.,175.75,-1.85,(-1.04%),178.8,175.45
JAI CORP,177.25,-0.65,(-0.37%),180.45,176.3
THE INDIA CEMENTS,179.85,-1.9,(-1.05%),184.3,178.95
