PETRONET LNG,250.75,-3.45,(-1.36%),255.95,249.7
COX & KINGS (INDIA),260.1,-2.35,(-0.90%),267,259.25
INDIABULLS VENTURES,263.2,-3.1,(-1.16%),268.45,260.75
HINDALCO,265.8,-2.3,(-0.86%),269.55,264.8
SONATA SOFTWARE,267.7,-11.8,(-4.22%),284.6,265.85
COFFEE DAY,279,-3.6,(-1.27%),285.4,277
AEGIS LOGISTICS,281.85,-2.55,(-0.90%),287,279.95
INDOCO REMEDIES,283.6,-8.35,(-2.86%),297.9,279.5
RADICO KHAITAN,283.7,-6.05,(-2.09%),297.65,278.1
BOMBAY DYEING,284.8,-8.65,(-2.95%),295.4,280
INOX LEISURE,285,-3.8,(-1.32%),292.8,285
PARAG MILK FOODS,291.5,-3.25,(-1.10%),302.4,290.25
STERLITE TECH,294.75,-2.6,(-0.87%),301.2,292.2
CCL PRODUCTS,299.15,-4.45,(-1.47%),309.45,299
HINDUSTAN ZINC,303.65,-2.8,(-0.91%),309.25,302.5
J KUMAR INFRAPROJECT,304.65,-13.55,(-4.26%),324,295.25
DELTA CORP,307.6,-12.6,(-3.94%),321.4,304.5
ICICI BANK,312.65,-4.85,(-1.53%),317.9,312.1
SBI,314.15,-2.7,(-0.85%),320.3,312.9
UNICHEM LABS,314.85,-6.65,(-2.07%),322,312.25
TRENT,325.55,-5,(-1.51%),332.75,325
MAHINDRA HOLIDAYS,338.5,-2.35,(-0.69%),346,338
DABUR INDIA,350.5,-2.65,(-0.75%),358.4,350.2
BHARTI INFRATEL,363,-6.05,(-1.64%),370.95,361.95
KEC INTERNATIONAL,363.75,-4.45,(-1.21%),374.05,362.35
CANARA BANK,368.15,-6.45,(-1.72%),384,366.6
MOTHERSON SUMI,368.35,-6.75,(-1.80%),379.3,366.1
JYOTHY LABORATORIES,382.55,-5.75,(-1.48%),389.8,382.55
INDIAN BANK,383,-5.55,(-1.43%),393.5,382.75
POLARIS CONSULTING,384.1,-9.5,(-2.41%),403,380
INDIAN OIL CORP.,401.5,-7.05,(-1.73%),410.5,400.6
JINDAL POLY FILMS,409.85,-7.9,(-1.89%),431.9,408
VAKRANGEE,413.35,-14.65,(-3.42%),440,410.3
SADBHAV ENGINEERING,416.65,-9.7,(-2.28%),434.5,414.05
SUNTECK REALTY,417.95,-7.5,(-1.76%),424.85,415
GE T&D,419.95,-8.3,(-1.94%),434.8,417.95
HINDUSTAN PETROLEUM,425.7,-4.45,(-1.03%),433.9,423.5
JK LAKSHMI CEMENT,435,-4.05,(-0.92%),447.15,435
VRL LOGISTICS,436,-3.1,(-0.71%),444.95,432.8
ARVIND,442.15,-11,(-2.43%),454.7,441
PC JEWELLER,453.15,-10.1,(-2.18%),468.8,450.9
KALPATARU POWER,485.45,-9.85,(-1.99%),502,483.1
UFLEX,488,-8.95,(-1.80%),500,482.15
CAN FIN HOMES,490.35,-10.1,(-2.02%),504.35,484
HSIL LTD.,508.5,-8.35,(-1.62%),519,506.5
ITDC,511.7,-12.3,(-2.35%),528,510
RBL BANK,512,-4.15,(-0.80%),518.1,512
LINDE INDIA,516.4,-11.95,(-2.26%),526.6,516.4
RAMCO SYSTEMS,525.5,-8,(-1.50%),537.15,522
BHARTI AIRTEL,534,-8.8,(-1.62%),547.2,530.75
RELIANCE INFRA.,534.25,-6.25,(-1.16%),552,531.1
LAURUS LABS,541.1,-3.8,(-0.70%),550,541.1
KANSAI NEROLAC PAINT,548.95,-14.1,(-2.50%),561,548
