Company,Last Price,chg,%chg,Day High,Day Low
MAX FIN. SER.,586.30,-4.40,(-0.74%),598.80,584.00
AJANTA PHARMA,1467.20,-10.70,(-0.72%),1490.00,1455.00
J KUMAR INFRAPROJECT,317.00,-2.30,(-0.72%),322.45,316.00
SHARDA CROPCHEM,461.25,-3.30,(-0.71%),467.95,449.10
KITEX GARMENTS,305.05,-2.15,(-0.70%),309.90,300.00
ZENSAR TECHNOLOGIES,870.00,-6.05,(-0.69%),896.00,870.00
PIRAMAL ENTERPRISES,2880.95,-19.60,(-0.68%),2922.65,2875.75
INDIAN OVERSEAS BANK,22.35,-0.15,(-0.67%),22.55,22.10
WOCKHARDT,868.00,-5.80,(-0.66%),885.70,862.00
M&M,741.30,-4.75,(-0.64%),752.00,737.00
HINDUSTAN COPPER,93.00,-0.60,(-0.64%),94.80,92.30
MMTC LTD.,71.45,-0.45,(-0.63%),72.50,71.20
TVS MOTOR COMPANY,769.95,-4.90,(-0.63%),778.90,768.00
HDFC BANK,1865.70,-11.65,(-0.62%),1878.00,1857.00
CYIENT,566.40,-3.55,(-0.62%),579.45,561.70
FIRSTSOURCE SOLUTION,39.90,-0.25,(-0.62%),40.45,39.60
ATUL LTD.,2714.35,-16.55,(-0.61%),2760.00,2706.35
CENTRAL BANK OF INDI,75.15,-0.45,(-0.60%),76.10,74.85
TIME TECHNOPLAST,213.80,-1.30,(-0.60%),217.70,209.15
AVANTI FEEDS,2532.00,-15.25,(-0.60%),2598.00,2525.00
BALMER LAWRIE &,268.50,-1.60,(-0.59%),271.55,267.65
AARTI INDUSTRIES,1119.60,-6.55,(-0.58%),1148.85,1115.00
RCF,93.55,-0.55,(-0.58%),95.55,93.35
CARBORUNDUM,377.80,-2.15,(-0.57%),383.75,377.50
KESORAM INDUSTRIES,139.00,-0.80,(-0.57%),141.00,138.35
BPCL,531.30,-3.00,(-0.56%),540.70,531.05
HT MEDIA,97.05,-0.55,(-0.56%),98.10,96.40
RUPA & COMPANY,479.60,-2.70,(-0.56%),490.55,479.60
SUPREME INDUSTRIES,1218.45,-6.85,(-0.56%),1234.10,1210.00
GUJARAT FLUOROCHEM.,892.65,-5.05,(-0.56%),909.00,886.30
WHIRLPOOL OF INDIA,1526.00,-8.55,(-0.56%),1559.10,1525.00
REDINGTON (INDIA),181.10,-1.00,(-0.55%),182.45,180.00
BAJAJ ELECTRICALS,474.35,-2.60,(-0.55%),480.00,471.95
DCB BANK,193.50,-1.05,(-0.54%),196.95,192.50
TRENT,331.15,-1.80,(-0.54%),333.00,328.95
SHREE CEMENT,17702.50,-94.60,(-0.53%),17990.00,17690.10
MINDTREE,596.05,-3.10,(-0.52%),602.50,589.00
GLAXOSMITHKLINE,2425.00,-12.20,(-0.50%),2457.05,2417.90
HERITAGE FOODS,826.40,-4.10,(-0.49%),857.50,822.10
GODFREY PHILLIPS,991.10,-4.90,(-0.49%),1009.00,987.00
HIND CONSTRUCTIONS,41.90,-0.20,(-0.48%),43.30,41.70
PI INDUSTRIES,952.35,-4.55,(-0.48%),979.75,950.05
CAPLIN POINT LABS,633.40,-3.00,(-0.47%),642.85,632.00
INFO EDGE (INDIA),1276.60,-6.00,(-0.47%),1284.45,1263.00
WELSPUN INDIA,75.75,-0.35,(-0.46%),77.65,75.45
PAGE INDUSTRIES,24502.25,-112.65,(-0.46%),25000.00,24427.65
RATTANINDIA POWER,8.62,-0.04,(-0.46%),8.85,8.49
OIL INDIA,357.05,-1.60,(-0.45%),363.75,355.25
LAKSHMI VILAS BANK,145.70,-0.65,(-0.44%),147.45,145.10
POWER GRID,202.30,-0.90,(-0.44%),203.90,201.60
SML ISUZU,915.15,-4.00,(-0.44%),932.00,910.00
DISH TV INDIA,80.25,-0.35,(-0.43%),81.90,79.80
